id,name,url,router,cover,rating,developer,released,updated,technology,platform,classification,class,wiki,description,tags,embed
1737,Train Adventure,https://www.crazygames.com/game/train-adventure,train-adventure,https://images.crazygames.com/train-adventure/20221212104622/train-adventure-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Yso Corp,December 2022,December 2022,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Casual » Train,Casual,,Train Adventure is a casual game where you arm a train with weapons and seek out resources. Shoot down enemies along the way and collect as much as possible!,"Casual, Train, 3D, Zombie, Survival, Merge",https://www.crazygames.com/embed/train-adventure
1738,Parkour First Person,https://www.crazygames.com/game/parkour-first-person,parkour-first-person,https://images.crazygames.com/parkour-first-person/20221130085029/parkour-first-person-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,BORNIS GameLab,November 2022,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Sports » Parkour,Sports,,"Parkour First-Person is a first-person parkour game for those who love parkour and dynamic gameplay. This game was inspired by the ""Mirror's Edge"" game. Pass the levels at speed, get stars and buy skins to make your game character look even more attractive! Run, overcome obstacles, jump on skyscrapers, cope with difficulties, and be the first!","Sports, Parkour, 3D, Jumping, Running, Skill, Speed",https://www.crazygames.com/embed/parkour-first-person
1739,International Super Animal Soccer,https://www.crazygames.com/game/international-super-animal-soccer,international-super-animal-soccer,https://images.crazygames.com/international-super-animal-soccer/20221125111024/international-super-animal-soccer-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,Sheepixel,November 2022,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Sports » Soccer,Sports,,"International Super Animal Soccer is a sports game for you, a soccer lover! The animal kingdom is excited about the world cup, so they decided to make their own tournament! Dribble, pass, shoot, and explode your adversaries in this cute world cup inspired soccer game! Challenge your friends in a fun and quick exhibition match! The game is playable as a single-player or local competitive multiplayer. Be the next International Super Animal World Cup winner!","Sports, 2 Player, Top-Down, Soccer, Cute, 2D, Animal, World Cup",https://www.crazygames.com/embed/international-super-animal-soccer
1740,Doc Darling Santa Surgery,https://www.crazygames.com/game/doc-darling-santa-surgery,doc-darling-santa-surgery,https://images.crazygames.com/doc-darling-santa-surgery/20221123134306/doc-darling-santa-surgery-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.3,Go Panda Games,November 2022,,HTML5,"Browser (desktop,mobile,tablet)",Games » Beauty » Christmas,Beauty,,"Doc Darling Santa Surgery is a Christmas-themed game where you must help Santa, that had an accident on his way! He needs your help to fix Santa's sleight and find his deer. Also, bring him to Doc Darling to take care of all injuries and prepare for emergency surgery. Complete all treatments and dress him up till he gets ready to deliver the gifts for Christmas night!","Beauty, Dress Up, Simulation, Christmas, Mouse, Surgery",https://www.crazygames.com/embed/doc-darling-santa-surgery
1741,Dinogen Online,https://www.crazygames.com/game/dinogen-online,dinogen-online,https://images.crazygames.com/dinogen-online_16x9/20240415052244/dinogen-online_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,Wilkin Games,September 2022,April 2024,HTML5,Browser (desktop-only),Games » Shooting » Cute » Animal » Dinosaur,Shooting,,"Dinogen Online is a fast-paced 2D multiplayer game where you must defend your team and kill your enemies. There are several game modes and maps available. Earn XP to unlock new weapons, dinosaurs, equipment, items, and more. Play as a human or dinosaur in objective-based game modes, such as Team Deathmatch, Capture the Flag, or Destruction. You can also create your own maps and missions with the included Scenario Editor.","Shooting, Dinosaur, Top-Down, Gun, 2D, Survival, Multiplayer",https://www.crazygames.com/embed/dinogen-online
1742,Tictoc Nightlife Fashion,https://www.crazygames.com/game/tictoc-nightlife-fashion,tictoc-nightlife-fashion,https://images.crazygames.com/tictoc-nightlife-fashion/20220902103934/tictoc-nightlife-fashion-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.6,Go Panda Games,September 2022,,HTML5,"Browser (desktop,mobile,tablet)",Games » Beauty » Dress Up,Beauty,,Tictoc Nightlife Fashion is a beauty game where you must dress up the girl in the most attractive way by following the hint. Get ready to take selfies and try to get more likes so that you can buy new additional items and explore different styles. Do your best to make her into a Tictoc star!,"Beauty, Dress Up, Fashion, Makeup, Mouse",https://www.crazygames.com/embed/tictoc-nightlife-fashion
1743,House Escape Office,https://www.crazygames.com/game/house-escape-office,house-escape-office,https://images.crazygames.com/house-escape-office/20220823144507/house-escape-office-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,Isotronic,August 2022,October 2022,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Adventure » Puzzle » Escape,Adventure,,House Escape: Office is an  escape game  where you find tools and use them to solve puzzles. Can you find all the hidden clues and escape?,"Adventure, Point and Click, Escape, 2D, Logic, Mouse",https://www.crazygames.com/embed/house-escape-office
1744,OvO io,https://www.crazygames.com/game/ovo-online,ovo-online,https://images.crazygames.com/ovo-online/20220624172306/ovo-online-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.3,Dedra Games,June 2022,July 2022,HTML5,Browser (desktop-only),Games » .io » Parkour,.io,,"OvO.io Online is the same as the OvO game you know and love, but now in multiplayer! This is a fast-paced skill-based platforming game focused on maneuvering around the levels as fast as possible. Complete every level available in easy and hard mode. Collect over 40 coins scattered around the levels and unlock a dozen skins and achievements. So, what are you waiting for? Play with your friends!",".io, Parkour, Jumping, Platform, 2D, Obstacle, Skill, Multiplayer, Speed",https://www.crazygames.com/embed/ovo-online
1745,Think to Escape,https://www.crazygames.com/game/think-to-escape,think-to-escape,https://images.crazygames.com/think-to-escape/20220628155714/think-to-escape-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.2,Phix,June 2022,June 2022,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Adventure » Puzzle » Escape,Adventure,,"Think To Escape is an escape game to save yourself from the hotel that is on fire, you have to use your logic and tools around you to escape before the fire reaches you. Solve puzzles, open safes, collect objects, and use them to survive!","Adventure, Point and Click, Escape, Strategy, Logic, Mouse",https://www.crazygames.com/embed/think-to-escape
1746,Winterella,https://www.crazygames.com/game/prinxy-winterella,prinxy-winterella,https://images.crazygames.com/games/prinxy-winterella/cover-1643647479215.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Beauty » Makeup,Beauty,,Winterella is a beauty game to make a girl to be a fantasy winter princess. Discover the sophisticated fantasy makeup look in icy cold colors.,"Beauty, Makeup, Gamerina, Princess",https://www.crazygames.com/embed/prinxy-winterella
1747,Army Warfare,https://www.crazygames.com/game/army-warfare,army-warfare,https://images.crazygames.com/army-warfare/20220110052804/army-warfare-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.3,Barnzmu,January 2022,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Shooting » Battle,Shooting,,Army Warfare is a battle arena game with decks of cards that you can use in the arena to take down enemy towers in fast-paced matches. Win battles and progress to unlock new cards to your collection.,"Shooting, Battle, Arena, Tower Defense, Third Person Shooter, Strategy",https://www.crazygames.com/embed/army-warfare
1748,Fairy Puzzle,https://www.crazygames.com/game/fairy-puzzle,fairy-puzzle,https://images.crazygames.com/fairy-puzzle/20211123091033/fairy-puzzle-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,Eponesh.Technologies,November 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Jigsaw,Puzzle,,Fairy Puzzle is a jigsaw puzzle game where you must match puzzle pieces and complete the images. The game has 50 levels with different colorful pictures.,"Puzzle, Jigsaw, Board, 2D",https://www.crazygames.com/embed/fairy-puzzle
1749,DRAMA Online Game,https://www.crazygames.com/game/drama,drama,https://images.crazygames.com/games/drama/cover-1630324415438.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,Shared Dreams,August 2021,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android),Steam",Games » Casual » Arcade » Platform,Casual,,"DRAMA is a tricky platformer game with various puzzles to overcome. Think outside the box to complete the game with the most lives spared. Sometimes you have to find hidden objects, other times you have to use your skill, and in some cases, you have to put all your skills to the test.","Casual, Escape, Physics, Platform, 2D, Obstacle, Skill",https://www.crazygames.com/embed/drama
1750,Rally Point 3,https://www.crazygames.com/game/rally-point-3,rally-point-3,https://images.crazygames.com/rally-point-3/20210721110137/rally-point-3-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,XformGames,July 2021,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Driving » Car,Driving,Fandom,Rally Point 3 is a fast-paced offroad car racing game that comes with unlimited nitro. Beat the time in each track and complete the challenges. This is the third episode of the Rally Point series.,"Driving, 3D, Destroy, Car, Racing, Drifting, Speed",https://www.crazygames.com/embed/rally-point-3
1751,Monster Impact,https://www.crazygames.com/game/monster-impact,monster-impact,https://images.crazygames.com/games/monster-impact/cover-1621613153094.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Playtouch,May 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Clicker » Monster,Clicker,,,"Clicker, Monster, Cartoon, Mouse, Idle",https://www.crazygames.com/embed/monster-impact
1752,Yummy Toast,https://www.crazygames.com/game/yummy-toast,yummy-toast,https://images.crazygames.com/yummy-toast/20210419182722/yummy-toast-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Go Panda Games,April 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Beauty » Food » Cooking,Beauty,,Yummy Toast is another cooking game from the Yummy series from Go Panda games.,"Beauty, Food, Simulation, Cooking, Mouse",https://www.crazygames.com/embed/yummy-toast
1753,Colorful City of Cards,https://www.crazygames.com/game/colorful-city-of-cards,colorful-city-of-cards,https://images.crazygames.com/colorful-city-of-cards/20210415163933/colorful-city-of-cards-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Neko,April 2021,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Clicker » Building,Clicker,,,"Clicker, Building, Color, Card, Incremental, Mouse, Idle",https://www.crazygames.com/embed/colorful-city-of-cards
1754,Cycle Extreme,https://www.crazygames.com/game/cycle-extreme,cycle-extreme,https://images.crazygames.com/cycle-extreme/20210618150637/cycle-extreme-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.3,IriySoft,March 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Driving » Bike,Driving,,Cycle Extreme is a mountain bike riding game to beat the extreme downhill tracks challenge.,"Driving, Trial Bike, Stunt, Side Scrolling, Physics, Bike",https://www.crazygames.com/embed/cycle-extreme
1755,Wacky Dungeon,https://www.crazygames.com/game/wacky-dungeon,wacky-dungeon,https://images.crazygames.com/wacky-dungeon/20210112105048/wacky-dungeon-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Blue Infinity,January 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Action » RPG,Action,,,"Action, 1 Player, Battle, Monster, Cartoon, RPG, Mouse",https://www.crazygames.com/embed/wacky-dungeon
1756,AritMazeTic,https://www.crazygames.com/game/aritmazetic,aritmazetic,https://images.crazygames.com/aritmazetic/20210405093902/aritmazetic-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Next Door Gamedev,December 2020,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Puzzle » Math,Puzzle,,,"Puzzle, Strategy, Math, Logic",https://www.crazygames.com/embed/aritmazetic
1757,Om Nom Run,https://www.crazygames.com/game/om-nom-run,om-nom-run,https://images.crazygames.com/games/om-nom-run/cover_16x9-1707829613214.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Famobi,November 2021,February 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Casual » Arcade » Running,Casual,,Om Nom: Run is a running game set on the mean streets of Nomville. Complete the set challenges on each level to succeed. There are various power-ups and bonuses to help. The game features the characters Om Nom and Om Nelle from the  Cut The Rope  universe.,"Casual, Avoid, Running, Minigames, Obstacle, Collect",https://www.crazygames.com/embed/om-nom-run
1758,Panther Family Simulator 3D,https://www.crazygames.com/game/panther-family-simulator-in-jungle,panther-family-simulator-in-jungle,https://images.crazygames.com/games/panther-family-simulator-in-jungle/cover-1588953064255.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Simple Logic,May 2020,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Adventure » Cute » Animal,Adventure,,"Panther Family Simulator 3D is an  animal -action game featuring panther in a big world. Become a real panther, complete various quests, and create a beautiful family!","Adventure, 3D, Simulation, Survival, Animal, Mission, Hunting",https://www.crazygames.com/embed/panther-family-simulator-in-jungle
1759,Forward Game,https://www.crazygames.com/game/forward,forward,https://images.crazygames.com/games/forward/thumb-1588785379955.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,,,,HTML5,Browser (desktop-only),Games » Adventure » Puzzle » Card,Adventure,,Forward is a card-based adventure game to slay as many monsters as you can.,"Adventure, Battle, Card, Mouse",https://www.crazygames.com/embed/forward
1760,Puzzle Balls,https://www.crazygames.com/game/puzzle-balls,puzzle-balls,https://images.crazygames.com/puzzle-balls-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,DrMop,April 2020,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Casual » One Button,Puzzle,,,"Puzzle, One Button, Physics, Ball, Obstacle, Mouse, Collect",https://www.crazygames.com/embed/puzzle-balls
1761,Golf Solitaire,https://www.crazygames.com/game/golf-solitaire,golf-solitaire,https://images.crazygames.com/games/golf-solitaire/thumb-1586281987284.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8,DrMop,April 2020,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Card » Solitaire,Puzzle,,"Golf Solitaire is a fun and challenging solo card game. Clear all the cards by placing them in order and returning them to the pile until there are none remaining. This game uses a regular 52-card deck, but the rules differ from regular Solitaire.","Puzzle, Solitaire, Board, Card, 2D",https://www.crazygames.com/embed/golf-solitaire
1762,Super Retro Chase,https://www.crazygames.com/game/super-retro-chase,super-retro-chase,https://images.crazygames.com/super-retro-chase/20230213172920/super-retro-chase-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,InsertCoin Games,April 2020,February 2023,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Driving » Car,Driving,,"Super Retro Chase is a car-driving game to escape the police chase while also activating different checkpoints. Trick the cops with your drifting technique, upgrade your car, and get ready for your next drive! For another challenge, you can try  Endless Hot Pursuit .","Driving, Escape, Car, Drifting, Police",https://www.crazygames.com/embed/super-retro-chase
1763,Snowball Skirmish,https://www.crazygames.com/game/snowball-skirmish,snowball-skirmish,https://images.crazygames.com/snowball-skirmish-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Sahil Litt,March 2020,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Action » Multiplayer » 2 Player,Action,,,"Action, 2 Player, Platform, 2D, Snow, Fighting",https://www.crazygames.com/embed/snowball-skirmish
1764,Funny Rescue Carpenter,https://www.crazygames.com/game/funny-rescue-carpenter,funny-rescue-carpenter,https://images.crazygames.com/funny-rescue-carpenter-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Go Panda Games,January 2020,,HTML5,"Browser (desktop,mobile,tablet)",Games » Beauty,Beauty,,,"Beauty, Simulation, Hospital, Doctor, Makeup",https://www.crazygames.com/embed/funny-rescue-carpenter
1765,Poly Art,https://www.crazygames.com/game/poly-art-3d,poly-art-3d,https://images.crazygames.com/poly-art-3d-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,ConchGame,January 2020,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle,Puzzle,,,"Puzzle, Jigsaw, 3D, Relaxing, Logic, Animal, Art",https://www.crazygames.com/embed/poly-art-3d
1766,Find Cat,https://www.crazygames.com/game/find-cat,find-cat,https://images.crazygames.com/find-cat-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,ConchGame,December 2019,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Cute » Animal » Cat,Puzzle,,,"Puzzle, Point and Click, Cute, Cat, Hidden Object",https://www.crazygames.com/embed/find-cat
1767,Ninja Rian,https://www.crazygames.com/game/ninja-rian,ninja-rian,https://images.crazygames.com/ninja-rian-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,ADDPGAMES,December 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Action » Ninja,Action,,,"Action, 1 Player, Platform, Monster, 2D, Ninja, Collect",https://www.crazygames.com/embed/ninja-rian
1768,Airplane Survival,https://www.crazygames.com/game/airplane-survival,airplane-survival,https://images.crazygames.com/games/airplane-survival/cover-1626260005437.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Airplane,Casual,,,"Casual, Avoid, Survival, Collect, Airplane",https://www.crazygames.com/embed/airplane-survival
1769,Funny Nose Surgery,https://www.crazygames.com/game/funny-nose-surgery,funny-nose-surgery,https://images.crazygames.com/funny-nose-surgery-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.6,Go Panda Games,November 2019,,HTML5,"Browser (desktop,mobile,tablet)",Games » Beauty » Hospital » Surgery,Beauty,,,"Beauty, Simulation, Fashion, Hospital, Doctor, Surgery",https://www.crazygames.com/embed/funny-nose-surgery
1770,Stickman Tennis 3D,https://www.crazygames.com/game/stickman-tennis-3d,stickman-tennis-3d,https://images.crazygames.com/games/stickman-tennis-3d/thumb-1574096469181.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Yuriy Nikshych,November 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Sports » Arcade » Stickman,Sports,,,"Sports, 3D, 1 Player, Stickman, Tennis",https://www.crazygames.com/embed/stickman-tennis-3d
1771,A Grim Granny,https://www.crazygames.com/game/a-grim-granny,a-grim-granny,https://images.crazygames.com/games/a-grim-granny/thumb-1573498566799.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,jronn,November 2019,,HTML5,Browser (desktop-only),Games » Puzzle » Arcade » Platform,Puzzle,,,"Puzzle, Pixel, Platform, Granny, 2D, Logic, Retro",https://www.crazygames.com/embed/a-grim-granny
1772,Genius Mechanic,https://www.crazygames.com/game/genius-mechanic,genius-mechanic,https://images.crazygames.com/games/genius-mechanic/thumb-1570726538246.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.6,PS Games,October 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Puzzle » Simulation,Puzzle,,"In Genius Mechanic, you have the freedom to build any vehicle! Just let your imagination flow and surprise yourself. Try another game with delivery missions in  Move It! .","Puzzle, 3D, Simulation, Building, Logic, Brain, Block",https://www.crazygames.com/embed/genius-mechanic
1773,Parking Fury 3D Beach City,https://www.crazygames.com/game/parking-fury-3d-beach-city,parking-fury-3d-beach-city,https://images.crazygames.com/parking-fury-3d-beach-city_16x9/20240917015035/parking-fury-3d-beach-city_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Brain Software,October 2019,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Driving » Parking,Driving,,Beach City is another episode of Parking Fury series. Enjoy the beautiful beach city while doing your difficult missions.,"Driving, Parking, 3D, Car, Traffic, Drifting, Police",https://www.crazygames.com/embed/parking-fury-3d-beach-city
1774,Raccoon Adventure City Simulator 3D,https://www.crazygames.com/game/raccoon-adventure-city-simulator-3d,raccoon-adventure-city-simulator-3d,https://images.crazygames.com/raccoon-adventure-city-simulator-3d/20210211065430/raccoon-adventure-city-simulator-3d-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,CyberGoldfinch,September 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Action » Cute » Animal,Action,,Raccoon Adventure: City Simulator 3D. This time you are playing as a raccoon. Explore every inch of the big city and start your amazing journey today! This is one of the top apps available for city simulation. It also has a unique style of gameplay. Roam through the gorgeous cityscape as a small raccoon!,"Action, 3D, Simulation, Car, Boat, Animal",https://www.crazygames.com/embed/raccoon-adventure-city-simulator-3d
1775,Pixel Force,https://www.crazygames.com/game/pixel-force,pixel-force,https://images.crazygames.com/games/pixel-force/thumb-1563945180784.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Beedo Games,July 2019,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Action » Shooting » FPS,Action,,,"Action, Pixel, 3D, 1 Player, Battle, Block, FPS, Killing",https://www.crazygames.com/embed/pixel-force
1776,Met Rage,https://www.crazygames.com/game/metrage,metrage,https://images.crazygames.com/games/metrage/thumb-1562259732086.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Martian Games,July 2019,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Shooting » FPS,Shooting,,"Met Rage game, the awesome shooting game underground and is one of our multiplayer  first-person shooter games . This awesome action game has an open world and allows players to delve into an underground subway system and try to rack up the kills. The underground is slightly different as it has a post-apocalyptic design - it looks like the end of the world.","Shooting, 3D, Party, Multiplayer, FPS",https://www.crazygames.com/embed/metrage
1777,Shadow President Illuminati,https://www.crazygames.com/game/shadow-president-illuminati,shadow-president-illuminati,https://images.crazygames.com/shadow-president-illuminati?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Hazenberg Games,June 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Adventure,Adventure,,,"Adventure, Simulation, Story, Business, Strategy",https://www.crazygames.com/embed/shadow-president-illuminati
1778,Red Bounce Ball 5,https://www.crazygames.com/game/red-bounce-ball-5,red-bounce-ball-5,https://images.crazygames.com/games/red-bounce-ball-5/thumb-1559219759600.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Dmobin,May 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS)",Games » Casual » Sports » Ball,Casual,,,"Casual, Avoid, Jumping, Side Scrolling, Physics, Ball, Monster, Obstacle, Logic",https://www.crazygames.com/embed/red-bounce-ball-5
1779,Glowit Two Players,https://www.crazygames.com/game/glowit-two-players,glowit-two-players,https://images.crazygames.com/games/glowit-two-players/thumb-1553606662314.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,Shared Dreams,March 2019,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Casual » Multiplayer » 2 Player,Casual,,Glowit – Two Players is an awesome and challenging game for you and a friend. You can play together and compete against each other in over 10 different fun mini-games.,"Casual, 2 Player, Battle, Physics, Minigames, Arcade",https://www.crazygames.com/embed/glowit-two-players
1780,Life in the Static,https://www.crazygames.com/game/life-in-the-static,life-in-the-static,https://images.crazygames.com/games/life-in-the-static/thumb-1553529754142.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Tadas Gloom,March 2019,,HTML5,Browser (desktop-only),Games » Casual » Arcade » Platform,Casual,,Life in the Static is a brilliant and exciting platform game in which you must complete different challenges. You have a unique ability where you can stop time and make it static!,"Casual, Jumping, Side Scrolling, Platform, 2D, Obstacle",https://www.crazygames.com/embed/life-in-the-static
1781,Cyber Rage Retribution,https://www.crazygames.com/game/cyber-rage-retribution,cyber-rage-retribution,https://images.crazygames.com/games/cyber-rage-retribution/thumb-1552647298832.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Extreme Games,March 2019,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Action,Action,,"Cyber Rage: Retribution is a cool 3D side-scrolling fighter game in which you and your friend can battle your way through the streets and try to take out the bad guys using a combo of punches, kicks, and special moves.","Action, 2 Player, 3D, Battle, Co-op, Fighting",https://www.crazygames.com/embed/cyber-rage-retribution
1782,Sports Cars Driver,https://www.crazygames.com/game/sport-cars-driver,sport-cars-driver,https://images.crazygames.com/sport-cars-driver.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Faramel Games,February 2019,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Driving » Car,Driving,,Sports Car Driver is an awesome driving simulation game with cool graphics and some epic luxury sports cars to drive. The game is open world and you are free to do what you want with the cars.,"Driving, Stunt, 3D, Car, Physics, Drifting",https://www.crazygames.com/embed/sport-cars-driver
1783,Crazy Pixel Apocalypse 3,https://www.crazygames.com/game/crazy-pixel-apocalypse-3,crazy-pixel-apocalypse-3,https://images.crazygames.com/games/crazy-pixel-apocalypse-3/thumb-1548687580739.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Mentolatux,January 2019,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Shooting » FPS,Shooting,,"Crazy Pixel Apocalypse 3 is the third instalment of this epic pixelated  first person shooter series . In this version, you can play against other players from around the world, but you can also play against computer characters and zombies!","Shooting, Pixel, 3D, Multiplayer, Block, FPS",https://www.crazygames.com/embed/crazy-pixel-apocalypse-3
1784,Farm Clash 3D,https://www.crazygames.com/game/farm-clash-3d,farm-clash-3d,https://images.crazygames.com/games/farm-clash-3d/cover-1584470283729.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Freeway Interactive,January 2019,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Shooting » Third Person Shooter,Shooting,,,"Shooting, 3D, Third Person Shooter, Multiplayer",https://www.crazygames.com/embed/farm-clash-3d
1785,Sports Minibattles,https://www.crazygames.com/game/sport-minibattles,sport-minibattles,https://images.crazygames.com/sport-minibattles/20200731163003/sport-minibattles-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.1,Shared Dreams,November 2018,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Sports » Multiplayer » 2 Player,Sports,,"Sports Mini Battles is a brilliant collection of sports-based games. You can either play against an AI computer opponent or your friend using split controls. There are four different sports games to play. During each game, you must try and beat your opponent in an intense sports match.","Sports, 2 Player, Soccer, Volleyball, Physics, Basketball, Tennis",https://www.crazygames.com/embed/sport-minibattles
